Year,SEER,Mortality,Type,Race,Gender
1975,17.5,11.3,Leukemia,White,Male
1976,19.1,11.2,Leukemia,White,Male
1977,17,11.1,Leukemia,White,Male
1978,18.3,11.1,Leukemia,White,Male
1979,17.6,11.4,Leukemia,White,Male
1980,17.9,11.5,Leukemia,White,Male
1981,17,11.2,Leukemia,White,Male
1982,18.8,11.3,Leukemia,White,Male
1983,18.4,11.2,Leukemia,White,Male
1984,18,10.9,Leukemia,White,Male
1985,18.3,11,Leukemia,White,Male
1986,18.4,11,Leukemia,White,Male
1987,18.5,10.5,Leukemia,White,Male
1988,18.3,10.8,Leukemia,White,Male
1989,18.3,10.8,Leukemia,White,Male
1990,18.2,10.9,Leukemia,White,Male
1991,17.7,10.6,Leukemia,White,Male
1992,18.7,10.9,Leukemia,White,Male
1993,18,10.8,Leukemia,White,Male
1994,17.9,10.8,Leukemia,White,Male
1995,18.8,11,Leukemia,White,Male
1996,17.8,10.7,Leukemia,White,Male
1997,18.7,10.7,Leukemia,White,Male
1998,18.1,10.3,Leukemia,White,Male
1999,17.9,10.5,Leukemia,White,Male
2000,18.7,10.5,Leukemia,White,Male
2001,19.7,10.5,Leukemia,White,Male
2002,19.2,10.5,Leukemia,White,Male
2003,18.9,10.4,Leukemia,White,Male
2004,18.6,10,Leukemia,White,Male
2005,19.1,10.1,Leukemia,White,Male
2006,17.8,10,Leukemia,White,Male
2007,18.6,9.9,Leukemia,White,Male
2008,18.5,9.8,Leukemia,White,Male
2009,17.6,9.9,Leukemia,White,Male
2010,18.4,9.6,Leukemia,White,Male
1975,16.3,8.6,Leukemia,Black,Male
1976,14.2,8.5,Leukemia,Black,Male
1977,13.6,8.8,Leukemia,Black,Male
1978,11.4,9.2,Leukemia,Black,Male
1979,13.5,8.9,Leukemia,Black,Male
1980,16.1,9.1,Leukemia,Black,Male
1981,14.5,8.9,Leukemia,Black,Male
1982,15.2,9.4,Leukemia,Black,Male
1983,16,9.2,Leukemia,Black,Male
1984,11.9,9.2,Leukemia,Black,Male
1985,17,9.6,Leukemia,Black,Male
1986,13.2,9.3,Leukemia,Black,Male
1987,17.6,9.4,Leukemia,Black,Male
1988,14,9.8,Leukemia,Black,Male
1989,15.8,10.3,Leukemia,Black,Male
1990,14.9,10,Leukemia,Black,Male
1991,12.1,10,Leukemia,Black,Male
1992,13.9,9.4,Leukemia,Black,Male
1993,15.2,9.8,Leukemia,Black,Male
1994,12.7,9.6,Leukemia,Black,Male
1995,13.4,9.8,Leukemia,Black,Male
1996,13.9,10.1,Leukemia,Black,Male
1997,13.9,9.2,Leukemia,Black,Male
1998,14.4,9.4,Leukemia,Black,Male
1999,14.1,8.8,Leukemia,Black,Male
2000,13.8,9.1,Leukemia,Black,Male
2001,14.5,8.8,Leukemia,Black,Male
2002,11.8,8.9,Leukemia,Black,Male
2003,14.4,8.5,Leukemia,Black,Male
2004,17.3,8.9,Leukemia,Black,Male
2005,12.4,8.1,Leukemia,Black,Male
2006,15,8.8,Leukemia,Black,Male
2007,13.6,8.1,Leukemia,Black,Male
2008,14.6,8.7,Leukemia,Black,Male
2009,14.3,8.1,Leukemia,Black,Male
2010,12.9,7.5,Leukemia,Black,Male
1975,10.1,6.3,Leukemia,White,Female 
1976,10.3,6.3,Leukemia,White,Female 
1977,10.5,6.3,Leukemia,White,Female 
1978,10.3,6.3,Leukemia,White,Female 
1979,10,6.5,Leukemia,White,Female 
1980,10.1,6.6,Leukemia,White,Female 
1981,9.8,6.3,Leukemia,White,Female 
1982,9.9,6.4,Leukemia,White,Female 
1983,10.1,6.3,Leukemia,White,Female 
1984,10.3,6.5,Leukemia,White,Female 
1985,10.7,6.4,Leukemia,White,Female 
1986,9.9,6.2,Leukemia,White,Female 
1987,10.6,6.2,Leukemia,White,Female 
1988,10,6.1,Leukemia,White,Female 
1989,11,6.3,Leukemia,White,Female 
1990,10.2,6.3,Leukemia,White,Female 
1991,10.6,6.4,Leukemia,White,Female 
1992,10,6.2,Leukemia,White,Female 
1993,10.4,6.2,Leukemia,White,Female 
1994,10.7,6.1,Leukemia,White,Female 
1995,11.2,6,Leukemia,White,Female 
1996,10.8,6.1,Leukemia,White,Female 
1997,10.6,6,Leukemia,White,Female 
1998,10.9,5.9,Leukemia,White,Female 
1999,10.1,6.1,Leukemia,White,Female 
2000,11.1,6,Leukemia,White,Female 
2001,11.8,6,Leukemia,White,Female 
2002,11.1,5.9,Leukemia,White,Female 
2003,10.9,5.8,Leukemia,White,Female 
2004,11.1,5.6,Leukemia,White,Female 
2005,10.7,5.6,Leukemia,White,Female 
2006,11.8,5.7,Leukemia,White,Female 
2007,10.6,5.5,Leukemia,White,Female 
2008,10.8,5.5,Leukemia,White,Female 
2009,10.5,5.4,Leukemia,White,Female 
2010,10.7,5.4,Leukemia,White,Female 
1975,8.5,5.1,Leukemia,Black,Female 
1976,9.4,5.5,Leukemia,Black,Female 
1977,7.7,5.5,Leukemia,Black,Female 
1978,7.5,4.9,Leukemia,Black,Female 
1979,8.6,5.7,Leukemia,Black,Female 
1980,9.5,5.7,Leukemia,Black,Female 
1981,10.4,5.9,Leukemia,Black,Female 
1982,7.9,5.7,Leukemia,Black,Female 
1983,10.1,5.9,Leukemia,Black,Female 
1984,9.6,5.7,Leukemia,Black,Female 
1985,9.3,5.4,Leukemia,Black,Female 
1986,8.1,5.9,Leukemia,Black,Female 
1987,9.3,5.9,Leukemia,Black,Female 
1988,9.4,5.6,Leukemia,Black,Female 
1989,8.1,5.5,Leukemia,Black,Female 
1990,8.9,5.8,Leukemia,Black,Female 
1991,10,5.8,Leukemia,Black,Female 
1992,8.4,5.7,Leukemia,Black,Female 
1993,9.1,5.8,Leukemia,Black,Female 
1994,7.8,5.5,Leukemia,Black,Female 
1995,7.4,5.5,Leukemia,Black,Female 
1996,8.7,5.9,Leukemia,Black,Female 
1997,8.2,5.3,Leukemia,Black,Female 
1998,7,5.6,Leukemia,Black,Female 
1999,8.4,5.4,Leukemia,Black,Female 
2000,10.2,5.3,Leukemia,Black,Female 
2001,10,5.4,Leukemia,Black,Female 
2002,6.9,5.4,Leukemia,Black,Female 
2003,8.9,5.3,Leukemia,Black,Female 
2004,9.7,5.4,Leukemia,Black,Female 
2005,10.1,4.8,Leukemia,Black,Female 
2006,8.2,4.7,Leukemia,Black,Female 
2007,7.4,5.1,Leukemia,Black,Female 
2008,7.9,4.8,Leukemia,Black,Female 
2009,8,4.7,Leukemia,Black,Female 
2010,8.2,4.6,Leukemia,Black,Female 
1975,7.3,5.2,Brain,White,Male
1976,7.5,5.5,Brain,White,Male
1977,8.3,5.7,Brain,White,Male
1978,7.2,5.8,Brain,White,Male
1979,8,5.5,Brain,White,Male
1980,8.2,5.8,Brain,White,Male
1981,8.4,5.6,Brain,White,Male
1982,8.6,5.7,Brain,White,Male
1983,8.2,5.6,Brain,White,Male
1984,7.7,5.9,Brain,White,Male
1985,9.1,5.9,Brain,White,Male
1986,8.6,5.9,Brain,White,Male
1987,8.7,6,Brain,White,Male
1988,8.6,6.2,Brain,White,Male
1989,9.2,6.2,Brain,White,Male
1990,8.8,6.3,Brain,White,Male
1991,9.3,6.4,Brain,White,Male
1992,9.5,6.3,Brain,White,Male
1993,8.9,6.2,Brain,White,Male
1994,8.6,6.3,Brain,White,Male
1995,8.6,6,Brain,White,Male
1996,9,6.1,Brain,White,Male
1997,8.9,6,Brain,White,Male
1998,8.4,6.1,Brain,White,Male
1999,9.2,6,Brain,White,Male
2000,9.1,6,Brain,White,Male
2001,8.6,5.9,Brain,White,Male
2002,8.9,5.8,Brain,White,Male
2003,8.3,5.7,Brain,White,Male
2004,8.9,5.6,Brain,White,Male
2005,8.7,5.7,Brain,White,Male
2006,8.7,5.5,Brain,White,Male
2007,8.7,5.5,Brain,White,Male
2008,8.8,5.7,Brain,White,Male
2009,8.8,5.7,Brain,White,Male
